rank,title,rating,rate_count,year,country,genre,director
1,肖申克的救赎,9.7,3037887,1994,美国,剧情,弗兰克·德拉邦特
2,霸王别姬,9.6,2245306,1993,中国大陆,剧情,陈凯歌
3,阿甘正传,9.5,2263516,1994,美国,剧情/喜剧,罗伯特·泽米吉斯
4,泰坦尼克号,9.5,2302886,1997,美国,剧情/灾难,詹姆斯·卡梅隆
5,千与千寻,9.4,2351770,2001,日本,动画/奇幻/冒险,宫崎骏
6,这个杀手不太冷,9.4,2389070,1994,法国,剧情/动作/犯罪,吕克·贝松
7,美丽人生,9.5,1385004,1997,意大利,剧情/喜剧/战争,罗伯托·贝尼尼
8,星际穿越,9.4,1969495,2014,美国,剧情/科幻/冒险,克里斯托弗·诺兰
9,盗梦空间,9.4,2165729,2010,美国,剧情/科幻/悬疑,克里斯托弗·诺兰
10,楚门的世界,9.4,1823060,1998,美国,剧情/喜剧,彼得·威尔
11,辛德勒的名单,9.5,1171642,1993,美国,剧情/历史/战争,史蒂文·斯皮尔伯格
12,忠犬八公的故事,9.4,1451811,2009,美国,剧情,莱塞·霍尔斯道姆
13,海上钢琴师,9.3,1439596,1998,意大利,剧情/音乐,朱塞佩·托纳多雷
14,三傻大闹宝莱坞,9.2,1652434,2009,印度,剧情/喜剧,拉库马·希拉尼
15,机器人总动员,9.3,1450000,2008,美国,动画/科幻/冒险,安德鲁·斯坦顿
16,放牛班的春天,9.3,1440000,2004,法国,剧情/音乐/儿童,克里斯托夫·巴拉蒂
17,触不可及,9.3,1258000,2011,法国,剧情/喜剧,奥利维耶·纳卡什
18,熔炉,9.3,1015000,2011,韩国,剧情/犯罪,黄东赫
19,指环王3：王者无敌,9.3,887000,2003,美国,剧情/奇幻/冒险,彼得·杰克逊
20,素媛,9.3,759000,2013,韩国,剧情/犯罪,李俊益
21,教父,9.3,1325689,1972,美国,剧情/犯罪,弗朗西斯·福特·科波拉
22,龙猫,9.2,1689745,1988,日本,动画/奇幻/冒险,宫崎骏
23,乱世佳人,9.3,968542,1939,美国,剧情/历史,维克多·弗莱明
24,当幸福来敲门,9.1,1865248,2006,美国,剧情/传记,加布里尔·穆奇诺
25,哈尔的移动城堡,9.1,1725689,2004,日本,动画/奇幻/冒险,宫崎骏
26,让子弹飞,9.0,1986542,2010,中国大陆,剧情/喜剧/动作,姜文
27,怦然心动,9.1,2015689,2010,美国,剧情,罗伯·莱纳
28,末代皇帝,9.3,1025689,1987,英国/意大利/中国大陆,剧情/传记/历史,贝纳尔多·贝托鲁奇
29,寻梦环游记,9.1,1896542,2017,美国,动画/音乐/奇幻,李·昂克里奇
30,哈利·波特与魔法石,9.1,1756892,2001,美国,奇幻/冒险,克里斯·哥伦布
31,大话西游之大圣娶亲,9.2,1865987,1995,中国香港,剧情/喜剧,刘镇伟
32,我不是药神,9.0,2236598,2018,中国大陆,剧情/喜剧,文牧野
33,指环王1：护戒使者,9.1,1125689,2001,美国,奇幻/冒险,彼得·杰克逊
34,死亡诗社,9.1,1256987,1989,美国,剧情,彼得·威尔
35,复仇者联盟4：终局之战,8.5,2659874,2019,美国,动作/科幻/奇幻,罗素兄弟
36,指环王2：双塔奇兵,9.0,986542,2002,美国,剧情/奇幻/冒险,彼得·杰克逊
37,千与千寻,9.4,2351770,2001,日本,动画/奇幻/冒险,宫崎骏
38,星际穿越,9.4,1969495,2014,美国,剧情/科幻/冒险,克里斯托弗·诺兰
39,蝙蝠侠：黑暗骑士,9.2,1856987,2008,美国,剧情/动作/科幻,克里斯托弗·诺兰
40,阿凡达,8.8,2156987,2009,美国,动作/科幻/冒险,詹姆斯·卡梅隆
41,寄生虫,8.8,1569874,2019,韩国,剧情/喜剧/悬疑,奉俊昊
42,活着,9.3,1456987,1994,中国大陆,剧情/历史,张艺谋
43,闻香识女人,9.1,1356987,1992,美国,剧情,马丁·布莱斯特
44,罗马假日,9.1,1589654,1953,美国,剧情,威廉·惠勒
45,何以为家,9.1,1489654,2018,黎巴嫩,剧情,娜丁·拉巴基
